video_id,time_sec,frame_index,individual_id,behavior,confidence,x_center,y_center,speed
IMG_1561,0.0,0,meerkat_1,inactive,0.75,367.0140686035156,351.572265625,0.0
IMG_1561,0.0,0,meerkat_2,social_contact,0.7,521.3019409179688,360.8987274169922,0.0
IMG_1561,0.0,0,meerkat_3,social_contact,0.7,523.5301513671875,377.43896484375,0.0
IMG_1561,0.3201960340797708,8,meerkat_1,inactive,0.75,366.7630920410156,351.31431579589844,0.3598990820464005
IMG_1561,0.6403920681595416,16,meerkat_1,inactive,0.75,365.55702209472656,350.5775604248047,1.413298691776509
IMG_1561,0.6403920681595416,16,meerkat_2,inactive,0.75,523.8464965820312,362.01173400878906,2.77732734853057
IMG_1561,0.9605881022393125,24,meerkat_1,inactive,0.75,364.1484375,350.55609130859375,1.4087481973198308
IMG_1561,0.9605881022393125,24,meerkat_2,exploratory,0.7,517.9712066650391,364.0971221923828,6.234410596438328
IMG_1561,1.2807841363190833,32,meerkat_1,inactive,0.75,364.005615234375,350.6259002685547,0.1589700929391621
IMG_1561,1.2807841363190833,32,meerkat_2,inactive,0.75,516.1692810058594,362.35487365722656,2.5064648490382324
IMG_1561,1.600980170398854,40,meerkat_1,inactive,0.75,365.47650146484375,352.82484436035156,2.6455361312654477
IMG_1561,1.600980170398854,40,meerkat_2,inactive,0.75,515.58740234375,361.4228210449219,1.0987742486617478
IMG_1561,1.921176204478625,48,meerkat_1,inactive,0.75,364.4632110595703,354.515380859375,1.9709568995667126
IMG_1561,1.921176204478625,48,meerkat_2,inactive,0.75,515.1988830566406,361.0626678466797,0.5297712361576961
IMG_1561,2.241372238558396,56,meerkat_1,inactive,0.75,362.93719482421875,354.8962097167969,1.5728179071977169
IMG_1561,2.241372238558396,56,meerkat_2,inactive,0.75,515.5273590087891,361.2079162597656,0.35915672434719326
IMG_1561,2.5615682726381666,64,meerkat_1,inactive,0.75,362.54693603515625,354.1179962158203,0.8705849617026055
IMG_1561,2.5615682726381666,64,meerkat_2,inactive,0.75,516.2731781005859,361.43402099609375,0.7793391235391217
IMG_1561,2.8817643067179373,72,meerkat_1,inactive,0.75,362.5381622314453,354.8828887939453,0.7649428970205994
IMG_1561,2.8817643067179373,72,meerkat_2,inactive,0.75,516.0576019287109,362.2096710205078,0.8050503377142422
IMG_1561,3.201960340797708,80,meerkat_1,inactive,0.75,363.0166015625,354.6790008544922,0.5200716156016381
IMG_1561,3.201960340797708,80,meerkat_2,inactive,0.75,516.6179504394531,363.03160095214844,0.9947659352921921
IMG_1561,3.522156374877479,88,meerkat_1,inactive,0.75,363.4368133544922,354.2613830566406,0.592437823920514
IMG_1561,3.522156374877479,88,meerkat_2,inactive,0.75,516.6313629150391,363.0954895019531,0.06528124767105332
IMG_1561,3.84235240895725,96,meerkat_1,inactive,0.75,363.5606994628906,354.2511901855469,0.12430471622284978
IMG_1561,3.84235240895725,96,meerkat_2,inactive,0.75,517.09033203125,363.43243408203125,0.5693718465813646
IMG_1561,4.1625484430370205,104,meerkat_1,inactive,0.75,363.7123107910156,354.0961151123047,0.21687386462387817
IMG_1561,4.1625484430370205,104,meerkat_2,inactive,0.75,517.2096557617188,363.1727752685547,0.28576362971700087
IMG_1561,4.482744477116792,112,meerkat_1,inactive,0.75,363.82720947265625,354.1197509765625,0.1173045656484326
IMG_1561,4.482744477116792,112,meerkat_2,inactive,0.75,516.9592590332031,362.94134521484375,0.34096684796615495
IMG_1561,4.802940511196562,120,meerkat_1,inactive,0.75,363.8747100830078,354.1356658935547,0.05009583382517138
IMG_1561,4.802940511196562,120,meerkat_2,exploratory,0.7,514.7361602783203,359.5662384033203,4.041474243782016
IMG_1561,5.123136545276333,128,meerkat_1,inactive,0.75,363.80848693847656,354.21617126464844,0.10424307960986774
IMG_1561,5.443332579356103,136,meerkat_1,inactive,0.75,363.73646545410156,354.0733947753906,0.15991316423723415
IMG_1561,5.7635286134358745,144,meerkat_1,inactive,0.75,363.72894287109375,353.9214324951172,0.15214836141415458
IMG_1561,6.083724647515646,152,meerkat_1,inactive,0.75,363.6060028076172,353.97943115234375,0.13593418792822323
IMG_1561,6.083724647515646,152,meerkat_2,inactive,0.75,518.1661224365234,359.61094665527344,3.4302535233562756
IMG_1561,6.403920681595416,160,meerkat_1,inactive,0.75,363.55653381347656,354.07411193847656,0.10682524347743173
IMG_1561,6.403920681595416,160,meerkat_2,inactive,0.75,518.6986999511719,361.7830505371094,2.236442282419972
IMG_1561,6.724116715675187,168,meerkat_1,inactive,0.75,363.4886169433594,354.04396057128906,0.07430885673855013
IMG_1561,6.724116715675187,168,meerkat_2,inactive,0.75,517.1722106933594,362.7812042236328,1.823864094755222
IMG_1561,7.044312749754958,176,meerkat_1,inactive,0.75,363.5321350097656,353.6432647705078,0.4030520398998943
IMG_1561,7.044312749754958,176,meerkat_2,inactive,0.75,516.4244689941406,361.99769592285156,1.0830525869705798
IMG_1561,7.3645087838347285,184,meerkat_1,inactive,0.75,363.6086120605469,353.46543884277344,0.19357375821838313
IMG_1561,7.3645087838347285,184,meerkat_2,inactive,0.75,515.9459838867188,361.7682647705078,0.5306473892240536
IMG_1561,7.6847048179145,192,meerkat_1,inactive,0.75,363.7344207763672,353.5710906982422,0.16428678443607625
IMG_1561,7.6847048179145,192,meerkat_2,inactive,0.75,516.0168762207031,361.59580993652344,0.18645748250561175
IMG_1561,8.00490085199427,200,meerkat_1,inactive,0.75,363.75653076171875,353.7366943359375,0.16707308661231657
IMG_1561,8.00490085199427,200,meerkat_2,inactive,0.75,516.3831634521484,361.26219177246094,0.49544668261307906
IMG_1561,8.00490085199427,200,meerkat_14,inactive,0.75,699.7052001953125,145.40250778198242,0.0
IMG_1561,8.325096886074041,208,meerkat_1,inactive,0.75,363.9001770019531,353.29490661621094,0.46455422894928805
IMG_1561,8.325096886074041,208,meerkat_2,inactive,0.75,516.5956268310547,361.18739318847656,0.22524545620795186
IMG_1561,8.325096886074041,208,meerkat_14,inactive,0.75,699.9100646972656,145.20386505126953,0.285356616579283
IMG_1561,8.645292920153812,216,meerkat_1,inactive,0.75,363.9526672363281,353.1916961669922,0.11579128435542377
IMG_1561,8.645292920153812,216,meerkat_2,inactive,0.75,516.5990905761719,361.2279052734375,0.04065988881095297
IMG_1561,8.645292920153812,216,meerkat_14,inactive,0.75,699.9834594726562,145.10427856445312,0.12371039330256188
IMG_1561,8.965488954233583,224,meerkat_1,inactive,0.75,364.03318786621094,353.06935119628906,0.14646454756381624
IMG_1561,8.965488954233583,224,meerkat_2,inactive,0.75,516.4491119384766,361.1116638183594,0.18975159457464794
IMG_1561,8.965488954233583,224,meerkat_14,inactive,0.75,700.1533813476562,145.05531692504883,0.17683519371627363
IMG_1561,9.285684988313353,232,meerkat_1,inactive,0.75,363.8535919189453,353.14695739746094,0.19564617740852155
IMG_1561,9.285684988313353,232,meerkat_2,inactive,0.75,517.1022796630859,361.83433532714844,0.9741058392632951
IMG_1561,9.285684988313353,232,meerkat_14,inactive,0.75,700.4201354980469,144.97330856323242,0.2790755241120847
IMG_1561,9.605881022393124,240,meerkat_1,inactive,0.75,363.7726593017578,353.19346618652344,0.09334428737142161
IMG_1561,9.605881022393124,240,meerkat_2,inactive,0.75,517.3423309326172,362.06031799316406,0.3296858767722608
IMG_1561,9.605881022393124,240,meerkat_14,inactive,0.75,700.3713989257812,144.8579216003418,0.12525735380138348
IMG_1561,9.926077056472895,248,meerkat_1,inactive,0.75,363.7216796875,353.1107940673828,0.09712672316657787
IMG_1561,9.926077056472895,248,meerkat_2,inactive,0.75,517.3819274902344,362.2123565673828,0.15711020153255995
IMG_1561,9.926077056472895,248,meerkat_14,inactive,0.75,700.4136047363281,144.27660369873047,0.582848036093214
IMG_1561,10.246273090552666,256,meerkat_1,inactive,0.75,363.7392883300781,353.0481262207031,0.06509472559979784
IMG_1561,10.246273090552666,256,meerkat_2,inactive,0.75,517.1746978759766,362.2087860107422,0.2072603722378344
IMG_1561,10.246273090552666,256,meerkat_14,inactive,0.75,700.3125305175781,144.23512268066406,0.10925508022855676
IMG_1561,10.566469124632437,264,meerkat_1,inactive,0.75,363.8067932128906,353.23545837402344,0.1991236923903191
IMG_1561,10.566469124632437,264,meerkat_2,inactive,0.75,516.8521118164062,362.2920684814453,0.3331632268956436
IMG_1561,10.566469124632437,264,meerkat_14,inactive,0.75,700.1918640136719,144.61928176879883,0.40266438899099544
IMG_1561,10.886665158712207,272,meerkat_1,inactive,0.75,363.92311096191406,352.7118682861328,0.5363547323135984
IMG_1561,10.886665158712207,272,meerkat_2,inactive,0.75,516.7477874755859,362.46868896484375,0.20513011296123848
IMG_1561,10.886665158712207,272,meerkat_14,inactive,0.75,700.0936279296875,144.87084197998047,0.2700608598933522
IMG_1561,11.206861192791978,280,meerkat_1,inactive,0.75,363.9656219482422,352.4811553955078,0.2345967217570042
IMG_1561,11.206861192791978,280,meerkat_2,inactive,0.75,516.618896484375,362.7457733154297,0.30559552508989507
IMG_1561,11.206861192791978,280,meerkat_14,inactive,0.75,699.9470520019531,144.99773788452148,0.1938738589404855
IMG_1561,11.527057226871749,288,meerkat_1,inactive,0.75,363.96327209472656,352.4881896972656,0.0074164150884951955
