video_id,time_bin,time_bin_start,time_bin_end,individual_id,behavior,count_frames,total_duration_sec,percent_time,mean_confidence
IMG_1561,120-150 sec,120.0,150.0,meerkat_149,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,120-150 sec,120.0,150.0,meerkat_149,inactive,3,1.0,3.33,0.75
IMG_1561,120-150 sec,120.0,150.0,meerkat_153,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,120-150 sec,120.0,150.0,meerkat_155,exploratory,4,1.3333333333333333,4.44,0.7
IMG_1561,120-150 sec,120.0,150.0,meerkat_155,inactive,17,5.666666666666667,18.89,0.75
IMG_1561,120-150 sec,120.0,150.0,meerkat_169,inactive,2,0.6666666666666666,2.22,0.75
IMG_1561,120-150 sec,120.0,150.0,meerkat_170,inactive,2,0.6666666666666666,2.22,0.75
IMG_1561,150-180 sec,150.0,180.0,focal_group,out_of_view,25,8.333333333333334,27.78,1.0
IMG_1561,150-180 sec,150.0,180.0,meerkat_0,active_movement,10,3.3333333333333335,11.11,0.8
IMG_1561,150-180 sec,150.0,180.0,meerkat_0,exploratory,6,2.0,6.67,0.6999999999999998
IMG_1561,150-180 sec,150.0,180.0,meerkat_0,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_0,social_contact,10,3.3333333333333335,11.11,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_1,active_movement,2,0.6666666666666666,2.22,0.8
IMG_1561,150-180 sec,150.0,180.0,meerkat_1,social_contact,10,3.3333333333333335,11.11,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_14,inactive,20,6.666666666666667,22.22,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_170,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_170,inactive,3,1.0,3.33,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_191,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_191,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_192,exploratory,1,0.3333333333333333,1.11,0.7
IMG_1561,150-180 sec,150.0,180.0,meerkat_192,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_197,inactive,1,0.3333333333333333,1.11,0.75
IMG_1561,150-180 sec,150.0,180.0,meerkat_198,inactive,5,1.6666666666666667,5.56,0.75
