epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.283,1.17275,1.5514,0.95038,0.5368,0.45838,0.4473,0.28738,1.1514,3.97672,0.7254,0.000661333,0.000661333,0.000661333
2,1575.9,1.31428,1.57629,1.00035,0.56511,0.53731,0.5416,0.37137,1.18008,2.53067,0.73714,0.00106506,0.00106506,0.00106506
3,2269.09,1.34104,1.71122,0.98374,0.45447,0.40412,0.35922,0.25289,1.22532,2.35592,0.75951,0.00120478,0.00120478,0.00120478
4,2975.75,1.31957,1.56689,1.00868,0.63439,0.51493,0.57447,0.40835,1.08938,1.85095,0.72068,0.000812,0.000812,0.000812
5,3680.98,1.26347,1.34289,0.97423,0.62668,0.52985,0.58247,0.39279,1.06238,1.56151,0.70098,0.000416,0.000416,0.000416
